City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,tuatapere,-46.1333,167.6833,20.97,67,100,3.25,NZ,1675042290
338,ripon,54.1352,-1.5212,6.99,70,46,8.23,GB,1675042143
339,kruisfontein,-34.0033,24.7314,14.94,79,39,1.9,ZA,1675042291
340,severnyy,50.677,36.5532,-7.98,93,68,2.0,RU,1675042292
341,benguela,-12.5763,13.4055,25.51,83,100,2.06,AO,1675042293
342,te anau,-45.4167,167.7167,23.52,36,100,1.37,NZ,1675042293
343,vila franca do campo,37.7167,-25.4333,12.23,77,45,3.84,PT,1675042083
344,pizhma,57.8642,47.1171,-11.47,96,98,2.88,RU,1675042294
345,husavik,66.0449,-17.3389,-4.86,77,100,6.68,IS,1675042295
346,port hardy,50.6996,-127.4199,-0.9,93,20,1.03,CA,1675042295
347,razole,16.4833,81.8333,21.54,85,86,2.27,IN,1675042296
348,nurota,40.5614,65.6886,1.86,58,100,2.64,UZ,1675042297
349,sisimiut,66.9395,-53.6735,-8.94,80,100,3.24,GL,1675042298
350,doha,25.2867,51.5333,13.17,62,0,1.54,QA,1675042213
351,geraldton,-28.7667,114.6,34.23,38,0,6.69,AU,1675042298
352,tecolutla,20.4833,-97.0167,24.92,85,0,6.82,MX,1675042299
353,poum,-20.2333,164.0167,26.54,71,1,6.02,NC,1675042072
354,caronport,50.4501,-105.8179,-22.9,91,36,4.48,CA,1675042300
355,biskamzha,53.4497,89.5272,-13.28,94,100,3.25,RU,1675042301
356,caravelas,-17.7125,-39.2481,24.28,85,1,2.33,BR,1675042030
357,mangai,-4.05,19.5333,20.88,92,97,0.54,CD,1675042302
358,soyaux,45.65,0.2,-1.29,93,14,0.0,FR,1675042303
359,enid,36.3956,-97.8784,-4.95,69,100,8.23,US,1675042035
360,talaya,61.3833,152.75,-21.56,95,100,3.79,RU,1675042305
361,kondol,52.8189,45.058,-3.74,95,100,4.68,RU,1675042306
362,surgut,61.25,73.4167,-13.9,84,20,1.0,RU,1675042306
363,road town,18.4167,-64.6167,25.05,88,40,3.6,VG,1675042059
364,bloemhof,-27.6469,25.607,19.6,58,13,5.54,ZA,1675042307
